epsilon,l.1,l.2,l.3,l.4,l.5,l.6,l.7,l.8,l.9,l.10,l.11,l.12,l.13,l.14,l.15,l.16,l.17,l.18,l.19,l.20,l.21,l.22,l.23,l.24,l.25,l.26,l.27,l.28,l.29,l.30,l.31,l.32,l.33,l.34,l.35,l.36,l.37,l.38,l.39,l.40,l.41,l.42,l.43,l.44,l.45,l.46,l.47,l.48,l.49,l.50,l.51,l.52,l.53,l.54,l.55,l.56,l.57,l.58,l.59,l.60,l.61,l.62,l.63,l_init,logModel
1.08996,1.13034,1.34445,1.19101,1.38267,1.38998,1.29795,1.29052,1.35153,1.35736,1.17894,1.21858,1.15277,1.03587,0.996046,0.948396,0.780315,0.702703,0.559977,0.363559,0.300767,0.147549,-0.126887,-0.317487,-0.574594,-0.580256,-0.572545,-0.656907,-0.756164,-0.883235,-1.01127,-1.01763,-1.28395,-1.2315,-1.04708,-1.26299,-1.2776,-1.4201,-1.20986,-1.28991,-1.28266,-1.22606,-1.34255,-1.22165,-1.14224,-0.980945,-1.00255,-0.945683,-0.941037,-0.680331,-0.457033,-0.225046,-0.303839,-0.159352,0.0349036,0.296402,0.288002,0.436207,0.343141,0.753123,0.736776,0.732079,1.02453,1.13214,1.08968,-9423.14
1.07785,1.20206,1.26887,1.18586,1.33656,1.46371,1.4609,1.20217,1.35558,1.25692,1.20345,1.0802,1.22238,1.09135,1.08478,0.911579,0.745852,0.748289,0.480768,0.359915,0.260444,0.200725,0.0843226,-0.278989,-0.425858,-0.474365,-0.629456,-0.58112,-0.729734,-0.773577,-0.924456,-0.951161,-1.23765,-1.23672,-1.17489,-1.17267,-1.38461,-1.34017,-1.28151,-1.27779,-1.25629,-1.27183,-1.29605,-1.15093,-1.18756,-1.01799,-0.882537,-0.947069,-0.881929,-0.612607,-0.467223,-0.314674,-0.317637,-0.0973748,-0.0318573,0.251638,0.298227,0.365095,0.551343,0.707188,0.824681,0.698479,1.05762,1.2462,1.29478,-9417.07
1.08989,1.31533,1.20017,1.41185,1.53034,1.42857,1.29636,1.49949,1.35704,1.33698,1.3006,1.1697,1.05575,1.17517,1.03303,0.854719,0.702286,0.561296,0.570817,0.432262,0.281816,0.0976918,-0.0894625,-0.135103,-0.391016,-0.605766,-0.630481,-0.737745,-0.764605,-0.983746,-0.97106,-1.10318,-1.10053,-1.29258,-1.33122,-1.47711,-1.38342,-1.45223,-1.36296,-1.45131,-1.47631,-1.29672,-1.19824,-1.21518,-0.92193,-0.949974,-0.963968,-0.778237,-0.705281,-0.690159,-0.538016,-0.405459,-0.180154,-0.0551001,0.186985,0.339719,0.402313,0.505277,0.594857,0.672215,0.737141,1.1238,1.04033,1.00422,1.38075,-9415.42
1.09171,1.13173,1.32423,1.3054,1.41891,1.41183,1.50023,1.2781,1.4168,1.33343,1.24047,1.11936,1.26276,1.11199,1.11759,1.01893,0.81996,0.777916,0.519191,0.339236,0.0798789,0.0548939,0.134093,-0.114108,-0.321333,-0.440195,-0.586205,-0.64056,-0.791555,-0.746084,-0.9369,-1.02069,-1.2163,-1.22169,-1.27401,-1.34383,-1.48025,-1.31708,-1.35769,-1.38703,-1.33217,-1.29751,-1.22257,-1.01327,-1.08018,-1.0301,-0.981943,-1.01323,-0.866251,-0.581155,-0.499848,-0.283513,-0.209407,0.0421322,0.0461087,0.262301,0.376136,0.424257,0.46698,0.623689,0.868339,0.753388,1.01773,1.1619,1.07625,-9414.65
1.08753,1.23679,1.21437,1.24974,1.45501,1.36759,1.41695,1.33357,1.32479,1.3364,1.32145,1.22034,1.32191,1.12319,1.1509,0.972968,0.717278,0.699732,0.547819,0.371629,0.127414,0.180594,0.130486,-0.22772,-0.442627,-0.345259,-0.546051,-0.677242,-0.831487,-0.881621,-0.799122,-0.996016,-1.27041,-1.26668,-1.21895,-1.31583,-1.46484,-1.41482,-1.343,-1.3421,-1.32835,-1.19522,-1.4077,-1.23244,-1.0508,-1.17545,-1.00015,-1.03698,-0.87529,-0.583653,-0.362099,-0.236496,-0.169013,-0.0367094,0.0701603,0.258217,0.522462,0.479727,0.523776,0.614277,0.692926,0.911053,1.08214,1.13421,1.30308,-9415.75
1.07346,1.2955,1.32909,1.21802,1.42061,1.53763,1.4501,1.29593,1.44693,1.29331,1.36885,1.26267,1.25487,1.12674,0.927887,0.975452,0.780085,0.651553,0.445115,0.39011,0.316791,0.0512429,-0.0348953,-0.244,-0.429996,-0.552299,-0.531169,-0.755242,-0.84061,-0.665761,-0.91184,-1.02452,-1.22181,-1.1849,-1.262,-1.39113,-1.46683,-1.4548,-1.41022,-1.38681,-1.35622,-1.35265,-1.26987,-1.20138,-1.27902,-1.16176,-1.05879,-0.7302,-0.767242,-0.625294,-0.512352,-0.211325,-0.173765,-0.0987411,-0.0339955,0.195011,0.326355,0.482125,0.497489,0.600551,0.871538,0.915974,1.03645,1.12554,1.25342,-9413.84
1.0819,1.27145,1.24147,1.35399,1.47737,1.52772,1.34634,1.29638,1.19296,1.48942,1.33819,1.1138,1.18093,1.14415,1.06958,1.00535,0.806734,0.522605,0.528424,0.301149,0.324549,0.149236,-0.116558,-0.237029,-0.448176,-0.601912,-0.544076,-0.740305,-0.734742,-1.03684,-1.0004,-1.07217,-1.20199,-1.42033,-1.20137,-1.34009,-1.35706,-1.36193,-1.13384,-1.32471,-1.37519,-1.17477,-1.1911,-1.34406,-1.12873,-1.18349,-1.01607,-0.858897,-0.828709,-0.617021,-0.496246,-0.224141,-0.0406218,0.0127829,0.0597175,0.0803028,0.297931,0.361487,0.550757,0.565822,0.757531,0.906517,0.994132,1.19674,1.31871,-9421.13
1.08916,1.20897,1.26339,1.23744,1.37231,1.30443,1.4257,1.4414,1.47184,1.11099,1.26138,1.16481,1.14773,1.11162,0.928733,0.774612,0.693704,0.802711,0.592613,0.433781,0.150004,0.0967465,0.0688656,-0.138034,-0.40655,-0.488552,-0.611199,-0.73994,-0.809803,-0.783455,-0.854228,-1.06908,-1.08624,-1.13897,-1.37806,-1.38285,-1.2586,-1.37528,-1.31917,-1.35921,-1.36909,-1.4012,-1.37727,-1.10111,-1.05889,-0.998999,-0.873357,-0.903426,-0.689059,-0.636231,-0.531963,-0.436362,-0.326605,-0.102228,0.0916043,0.457911,0.401706,0.527315,0.646493,0.669272,0.892053,0.888486,0.992027,1.02497,1.27792,-9417.91
1.09151,1.3861,1.23984,1.28203,1.31285,1.56391,1.54583,1.42842,1.446,1.54015,1.31606,1.23887,1.24628,1.11591,1.12684,0.915848,0.651378,0.569208,0.411077,0.29634,0.310993,0.100598,0.112091,-0.082162,-0.408724,-0.635088,-0.482345,-0.638513,-0.593821,-0.855414,-0.918681,-0.89374,-1.01692,-1.33068,-1.19697,-1.25132,-1.51212,-1.45154,-1.26813,-1.27986,-1.24627,-1.17812,-1.20491,-1.39105,-1.1303,-1.09875,-1.13244,-0.843561,-0.776266,-0.656055,-0.347451,-0.205093,-0.12739,0.0389137,0.111117,0.175159,0.374457,0.508845,0.570892,0.66407,0.78099,1.0713,1.0571,1.16436,1.28123,-9427.01
1.09659,1.35714,1.24857,1.27933,1.32121,1.58276,1.4849,1.49575,1.43764,1.5134,1.34072,1.22401,1.28887,1.16683,1.17588,0.879897,0.642929,0.568005,0.447133,0.260916,0.260335,0.18185,0.100142,-0.0509547,-0.410682,-0.573244,-0.479158,-0.659971,-0.613936,-0.882208,-0.946125,-0.875689,-1.04101,-1.29674,-1.16897,-1.28265,-1.52604,-1.41783,-1.30644,-1.30761,-1.24134,-1.24023,-1.22561,-1.31914,-1.2604,-1.14248,-1.10867,-0.859794,-0.787437,-0.701949,-0.323884,-0.204029,-0.12671,0.0292565,0.123537,0.201186,0.351504,0.568442,0.517488,0.640561,0.820787,1.03739,1.09758,1.15069,1.32687,-9423.78
